id,r_x,r_y,r_z,v_x,v_y,v_z
1,0.646556,2.45896,2.1964,-13156.8,117104,-148074
2,2.87684,-0.210952,2.66256,104839,76668.8,-95821.4
3,2.92427,0.742553,0.345255,227.678,118599,-176352
4,-1.07058,0.855657,-2.22494,-23702.8,187663,100739
5,0.479479,2.28703,1.42592,229635,-21491.4,-23188.9
6,0.512547,-0.538883,-1.70541,12489.5,288534,-94180
7,-1.97446,-1.73039,1.50118,-143640,123612,-94207.9
8,-2.29326,0.533408,-0.507098,-51128.9,-149663,190458
9,-0.0668954,3.23995,-0.126997,195782,-591.055,-9936.27
10,-0.644625,2.53778,-0.182862,-218697,-81974.8,21516.8
11,2.41466,1.24912,0.641898,119838,-173897,-5796.31
12,2.05745,-2.37925,0.13821,133420,73265.6,-139142
13,-2.24906,-1.17472,2.02958,-133075,94233.7,-109532
14,-1.68039,-1.93363,0.53436,-57043.2,52800.7,197987
15,-2.10481,0.936543,0.195784,-65198.7,-241838,12702.9
16,1.09869,-0.68798,3.02901,38876.6,186602,48066.4
17,-1.34859,1.87234,-0.257763,-205988,-150548,-5757.36
18,0.614865,-2.88806,1.02543,-107936,10878.5,174528
19,-2.83833,1.82436,0.875434,54693.6,138902,-103377
20,1.79027,-1.38784,1.79192,-17961.2,-168533,-83291.3
21,0.724137,-2.02938,0.00542815,-48214.3,-25140.9,-266768
22,-1.14622,-3.46863,-0.950874,-147058,36839.3,73122.3
23,2.33398,-0.316109,-0.0437404,1590.13,130061,-192169
24,-1.63982,-0.189742,1.19533,101201,-206133,89940.2
25,-2.07352,-0.348818,-1.52651,-9640.16,227645,21369.4
26,-1.83071,-2.1921,0.493112,-144690,120045,71502.6
27,1.35522,-0.501193,-1.48133,42831.7,-209830,160876
28,1.5972,0.975486,-2.34773,-134418,-132277,-103348
29,-1.57741,0.656384,-0.537679,99496,-12535.6,-258493
30,-0.507124,-1.90537,0.440503,142104,11591.2,201330
31,-0.583972,-2.23223,1.42452,-197654,62969.7,82467.4
32,1.76657,-1.48263,-0.336203,-53997.7,-127405,207646
33,-2.77502,0.316423,1.96745,22840.1,-172471,56837.8
34,1.55478,0.771726,2.54124,30174.8,-205625,-7159.18
35,0.899128,-0.0277434,1.99129,-57804.6,-259749,35920.7
36,-0.138652,-1.10802,-2.54842,-128265,-137585,95645.7
37,-2.12043,-1.85503,0.107322,76144.5,-7023.24,213915
38,-0.612661,2.31753,-0.874667,192025,101583,48423.3
39,-2.78525,-0.319519,0.0655409,-86698.4,211971,9157.89
40,-2.13711,-1.55559,-0.866154,110973,-188150,35191.8
41,-2.20854,-0.824849,1.19177,-27505.7,222227,82775
42,-1.91011,-0.191552,-1.44602,-35430.2,205588,131969
43,1.95041,-1.67587,0.910183,93283.1,162613,102854
44,0.536071,-1.39391,1.40386,238283,156092,2326.13
45,0.278988,-0.390222,3.00906,138212,156335,-11768.8
46,-1.62897,1.13263,1.12847,155803,201668,1679.76
47,-2.37895,-0.584486,0.772925,44155.6,-214625,-28511.8
48,-1.20414,0.255349,2.20208,-172408,-95892.1,-131472
49,-2.22779,2.27429,-0.688163,42101.8,70921,181893
50,2.71811,0.90807,-1.32267,620.178,-184284,-80838.6
